X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1770278.3403,5910934.7119,439086,6231-190b2aaa,6231,Stop A Botany Town Centre,,Stop,-36.93226,174.91196,31713-ed9ef80f,Bus
1770309.7818,5910903.0029,439087,6233-47eb8987,6233,Stop B Botany Town Centre,,Stop,-36.93254,174.91232,31713-ed9ef80f,Bus
1770359.0343,5911492.5025,439088,6235-4b507972,6235,Paradice Ice Skating,,Stop,-36.92722,174.91274,,Bus
1771775.1105,5913436.3484,439089,6240-152443dc,6240,Morrin Cooper Park,,Stop,-36.90945,174.92819,,Bus
1771577.7683,5913109.5726,439090,6242-a9188bd7,6242,Gillett Place,,Stop,-36.91243,174.92605,,Bus
1770504.833,5912318.7005,439091,6243-9d7b47ba,6243,Botany Road,,Stop,-36.91975,174.91419,,Bus
1771749.1299,5912900.7697,439092,6244-5df958b5,6244,Meadowlands Shopping Centre,,Stop,-36.91428,174.92802,,Bus
1768996.9905,5909724.9637,439093,6245-16b82215,6245,Smales Road/Sir William Avenue,,Stop,-36.94339,174.89785,,Bus
1771766.5746,5912485.2968,439094,6246-ba211fe8,6246,174 Whitford Road,,Stop,-36.91802,174.92831,,Bus
1771759.8068,5912503.1928,439095,6247-ef42a57f,6247,159 Whitford Road,,Stop,-36.91786,174.92823,,Bus
1771142.0092,5911830.8287,439096,6248-856d36e3,6248,Kilimanjaro Drive,,Stop,-36.92403,174.92145,,Bus
1770104.6564,5914632.0571,439097,6249-5d2e6499,6249,Aberfeldy Avenue/Pakuranga Road,,Stop,-36.89898,174.90918,,Bus
1772817.0793,5913393.0187,439098,6250-4570a4b6,6250,Currell Way,,Stop,-36.90965,174.93989,,Bus
1771712.9394,5912918.1506,439099,6251-61518df2,6251,Meadowlands Shopping Centre,,Stop,-36.91413,174.92761,,Bus
1772486.3941,5913173.3087,439100,6252-95cc5792,6252,Meadowland Reserve,,Stop,-36.91169,174.93623,,Bus
1767900.0469,5909352.7156,439101,6253-74f9fd2f,6253,Andromeda Crescent,,Stop,-36.94694,174.88562,,Bus
1772206.9529,5913062.4331,439102,6254-09b1a901,6254,Renway Rise,,Stop,-36.91274,174.93312,,Bus
1771799.976,5913035.155,439103,6256-b94001a4,6256,Meadowlands Shopping Centre,,Stop,-36.91306,174.92856,,Bus
1771161.8078,5911840.4192,439104,6257-22a000bb,6257,Kilimanjaro Drive,,Stop,-36.92394,174.92167,,Bus
1771267.4887,5914917.2679,439105,6258-f8ac6f30,6258,Howick Medical Centre,,Stop,-36.8962,174.92216,,Bus
1772832.7672,5913419.3384,439106,6259-9d8e1716,6259,Currell Way,,Stop,-36.90941,174.94006,,Bus
1771523.675,5915287.2622,439107,6260-96b63b31,6260,Bleakhouse Road,,Stop,-36.89282,174.92495,,Bus
1771254.1891,5914920.8657,439108,6261-958a3ce5,6261,Howick Medical Centre,,Stop,-36.89617,174.92201,,Bus
1771874.6372,5915316.8019,439109,6262-a1343a76,6262,Stockade Hill,,Stop,-36.89249,174.92888,,Bus
1771553.486,5915306.6396,439110,6263-40106a9f,6263,Bleakhouse Road,,Stop,-36.89264,174.92528,,Bus
1772169.7732,5915098.8303,439111,6264-1bf759a4,6264,Howick Village,,Stop,-36.8944,174.93224,,Bus
1767658.0194,5909457.3947,439112,6265-40cd755d,6265,Arwen Place,,Stop,-36.94604,174.88288,,Bus
1766459.9175,5901711.531,439113,6266-41262d04,6266,Rowandale Avenue,,Stop,-37.01604,174.87114,,Bus
1772196.6116,5915059.4386,439114,6267-aa3109fd,6267,Howick Village,,Stop,-36.89475,174.93255,,Bus
1770140.1194,5909018.3967,439115,6269-20e1e5a1,6269,Gracechurch Drive,,Stop,-36.94955,174.91084,,Bus
1772348.7093,5914514.7018,439116,6270-d2f1d9df,6270,Abercrombie Street,,Stop,-36.89963,174.93438,,Bus
1772348.5567,5914199.4796,439117,6272-7ac844e9,6272,Drake Street,,Stop,-36.90247,174.93445,,Bus
1770239.4307,5909439.2925,439118,6273-7134300c,6273,Ballybay Road,,Stop,-36.94574,174.91186,,Bus
1772332.7238,5914561.6438,439119,6275-23d5bb7e,6275,Abercrombie Street,,Stop,-36.89921,174.93419,,Bus
1772914.4463,5914235.7121,439120,6276-05a44382,6276,Bemrose Place,,Stop,-36.90204,174.94079,,Bus
1773018.2585,5915219.237,439121,6277-9f44c41e,6277,Howick Beach,,Stop,-36.89316,174.94173,,Bus
1773099.2408,5914511.6584,439122,6278-3b0f954f,6278,Churchill Road,,Stop,-36.89952,174.9428,,Bus
1772722.3431,5915090.9506,439123,6279-9e09a8f7,6279,Nixon Centennial Park,,Stop,-36.89437,174.93844,,Bus
1773012.3592,5915236.0064,439124,6280-4155a6d5,6280,Howick Beach,,Stop,-36.89301,174.94166,,Bus
1773175.6653,5914937.4337,439125,6281-998bdff7,6281,Island View Terrace,,Stop,-36.89567,174.94356,,Bus
1772702.095,5915103.5715,439126,6282-6567d29f,6282,Nixon Centennial Park,,Stop,-36.89426,174.93821,,Bus
1773882.7171,5913852.9986,439127,6283-0aee1108,6283,Tui Vale Road,,Stop,-36.90531,174.95174,,Bus
1773209.2659,5914880.1415,439128,6284-e96389df,6284,Island View Terrace,,Stop,-36.89618,174.94395,,Bus
