room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18013859,1467,54921722,Private room,,Auckland,,Lynfield North,1,0.0,2,1.0,,27.0,,Handy & Quiet Accomodation In Mt Rsokill,2017-07-19 00:23:08.180635,-36.916518,174.723694,0101000020E6100000F7C9518028D7654001193A76507542C0
17850755,1467,94723244,Private room,,Auckland,,Blockhouse Bay,0,0.0,2,0.0,,30.0,,COMFY ROOM FOR ONE,2017-07-19 00:23:06.432527,-36.924071,174.711643,0101000020E6100000AD6D8AC7C5D665404C1762F5477642C0
17467551,1467,53092584,Private room,,Auckland,,Blockhouse Bay,0,0.0,2,1.0,,41.0,,B) Quiet home in Auckland City West,2017-07-19 00:23:04.859160,-36.923985,174.693418,0101000020E6100000A60EF27A30D665404E7FF623457642C0
14736131,1467,62214777,Private room,,Auckland,,Waikowhai West,9,5.0,2,1.0,,29.0,,Nature Pure in Central Auckland,2017-07-19 00:23:04.855659,-36.930685,174.727027,0101000020E6100000E38920CE43D765405AF0A2AF207742C0
17448555,1467,22425920,Private room,,Auckland,,Waikowhai West,10,5.0,2,1.0,,33.0,,Private & Spacious - good location!,2017-07-19 00:22:55.773283,-36.932818,174.730016,0101000020E6100000D1B1834A5CD76540608F8994667742C0
17344212,1467,117066838,Private room,,Auckland,,Onehunga South East,13,4.5,2,1.0,,34.0,,"KEJUS Airbnb on Arthur Street, Onehunga, Auckland",2017-07-19 00:22:54.888213,-36.919655,174.78756,0101000020E6100000697407B133D965402B4D4A41B77542C0
18128277,1467,31990552,Private room,,Auckland,,Lynfield South,7,5.0,2,1.0,,33.0,,Private room close to airport and central Auckland,2017-07-19 00:22:50.109714,-36.927205,174.725735,0101000020E610000000529B3839D7654006D847A7AE7642C0
16327128,1467,50234474,Private room,,Auckland,,Lynfield North,11,5.0,1,1.0,,16.0,,"Quite, calm and cosy accommodation",2017-07-19 00:22:47.957264,-36.9163,174.726132,0101000020E610000088122D793CD7654093A98251497542C0
14227344,1467,86019173,Private room,,Auckland,,Palm Heights,0,0.0,1,1.0,,30.0,,Henderson Height Brand New Mordern Room,2017-07-19 00:22:46.875604,-36.890667,174.610392,0101000020E6100000AEB7CD5488D365402F505260017242C0
6329142,1467,29906627,Private room,,Auckland,,Sturges North,0,0.0,2,1.0,,34.0,,A place to relax!,2017-07-19 00:22:46.079465,-36.869267,174.608597,0101000020E6100000336E6AA079D36540FB3E1C24446F42C0
16298740,1467,106457285,Private room,,Auckland,,Sturges North,0,0.0,2,1.0,,30.0,,Easy transportation,2017-07-19 00:22:46.049510,-36.87138,174.606883,0101000020E6100000F3AFE5956BD36540BA313D61896F42C0
13397995,1467,40822952,Private room,,Auckland,,Kingdale,2,0.0,2,1.0,,27.0,,"Fun, friendly, 'home away from home'!",2017-07-19 00:22:45.130019,-36.860286,174.626978,0101000020E6100000F8A92A3410D46540749A05DA1D6E42C0
16786057,1467,111518671,Private room,,Auckland,,New Windsor,0,0.0,2,1.0,,30.0,,位于无尾静街 宁静安全小别墅 提供私密的舒适空间,2017-07-19 00:22:04.286900,-36.907516,174.718892,0101000020E610000065ABCB2901D76540624CFA7B297442C0
17793317,1467,121565873,Private room,,Auckland,,Mt Albert Central,0,0.0,2,1.0,,30.0,,Central and cosy house in MtAlbert,2017-07-19 00:21:55.574588,-36.878278,174.71962,0101000020E610000085B1852007D76540ED65DB696B7042C0
15775610,1467,100920371,Private room,,Auckland,,New Windsor,0,0.0,1,1.0,,30.0,,Private Room,2017-07-19 00:21:43.271993,-36.901655,174.710763,0101000020E61000009E060C92BED665402FA3586E697342C0
17347894,1467,99664609,Private room,,Auckland,,Roberton,0,0.0,1,1.0,,32.0,,Quite N Relaxing,2017-07-19 00:21:43.246229,-36.887686,174.701746,0101000020E61000002A0307B474D66540FC8EE1B19F7142C0
12714628,1467,50880090,Private room,,Auckland,,Mt Albert Central,1,0.0,1,1.0,,41.0,,No longer taking bookings.,2017-07-19 00:21:40.958607,-36.881715,174.713827,0101000020E61000000F80B8ABD7D6654042B28009DC7042C0
